Original_Rank,Person_Name,In_Degree (被標記數),Out_Degree (主動標記數),Mutual_Follow (互標數),Network_Influence_Score,Betweenness_Centrality,ig_url,posts,Followers,Following,category
149,含羞草日記,0,0,0,0.0,0.0,https://www.instagram.com/xiucao.han/,1134,240547,1313,"遊戲電玩,趣味搞笑"
150,辣媽Shania,0,0,0,0.0,0.0,https://www.instagram.com/lamashania/,797,76496,416,美食料理
151,三個麻瓜,0,2,0,0.0,0.0,https://www.instagram.com/three_muggles/,1383,94059,152,影視評論
152,傲嬌爸的養貓日常,0,0,0,0.0,0.0,https://www.instagram.com/uni_catto/,2270,66376,109,寵物
153,胡采蘋-Emmy-Hu,0,0,0,0.0,0.0,https://www.instagram.com/emmy_on_earth/,334,8713,203,理財創業
154,LoganDBeck-小貝,0,0,0,0.0,0.0,https://www.instagram.com/logandbeck/,1377,44979,682,旅遊
155,林萱-Shiuan,0,0,0,0.0,0.0,https://www.instagram.com/1_shiuan_0/,3008,330559,1759,"美妝保養,時尚潮流"
156,日本藥妝失心瘋,0,0,0,0.0,0.0,https://www.instagram.com/japanuts/,4180,517852,43,"美妝保養,家庭母嬰,帶貨分潤"
157,Campfire營火部落,0,0,0,0.0,0.0,https://www.instagram.com/campfire_tw/,2743,39315,468,旅遊
158,BlaireChen-左撇子,0,0,0,0.0,0.0,https://www.instagram.com/blairechen/,2770,221984,946,"美妝保養,時尚潮流,旅遊"
159,莊政威-Cliff-Chuang,0,0,0,0.0,0.0,https://www.instagram.com/cliffchuang3/,892,56940,198,汽機車
160,Candy-孟潔,0,1,0,0.0,0.0,https://www.instagram.com/mengj215/,1611,404122,834,時尚潮流
161,貝莉莓,0,0,0,0.0,0.0,https://www.instagram.com/itsberrym/,762,303926,664,"遊戲電玩,表演藝術"
162,蕭志瑋,0,1,0,0.0,0.0,https://www.instagram.com/afunnywii/,1947,225341,991,"表演藝術,趣味搞笑"
163,周小葳,0,0,0,0.0,0.0,https://www.instagram.com/mayukichou/,8861,309258,1748,"時尚潮流,高階經理人"
164,胡子Huz,0,1,0,0.0,0.0,https://www.instagram.com/huzihuang1989/,185,117022,371,趣味搞笑
165,柴犬Nana和阿楞的一天,0,0,0,0.0,0.0,https://www.instagram.com/nana_aleng/,1056,105966,0,寵物
166,那那大師,0,1,0,0.0,0.0,https://www.instagram.com/tinana_master/,1273,74477,5177,趣味搞笑
167,維思維,0,0,0,0.0,0.0,https://www.instagram.com/weisway18/,674,73874,7,知識教育
168,肉肉Neneko,0,0,0,0.0,0.0,https://www.instagram.com/neneko.n/,586,415646,74,表演藝術
169,上發條俱樂部,24,0,0,12.060301507537687,0.0,https://www.instagram.com/wia627/,5234,164251,2540,"家庭母嬰,寵物,帶貨分潤"
170,牛排,0,0,0,0.0,0.0,https://www.instagram.com/jam_steak/,871,386105,214,趣味搞笑
171,希露弟弟啃雞腿,0,0,0,0.0,0.0,https://www.instagram.com/getwie__/,1826,48153,1038,寵物
172,黃山料,0,0,0,0.0,0.0,https://www.instagram.com/iam_3636/,313,390092,1,時事討論
173,羚小鹿,5,0,0,2.512562814070352,0.0,https://www.instagram.com/daiying0/,914,353699,627,"美妝保養,旅遊,表演藝術"
174,Natalie吳斐莉,0,0,0,0.0,0.0,https://www.instagram.com/wufeili/,3568,372383,452,"美妝保養,時尚潮流,旅遊"
175,黃帝筱清Virus,0,0,0,0.0,0.0,https://www.instagram.com/zxsdexz/,172,192357,899,遊戲電玩
176,村子裡的凱莉哥,0,0,0,0.0,0.0,https://www.instagram.com/kellyshen40/,4589,80754,1211,"旅遊,家庭母嬰,帶貨分潤"
177,老王-oldwang,0,0,0,0.0,0.0,https://www.instagram.com/oldwangstock/,2229,72829,10,"趣味搞笑,時事討論"
178,處女座媽媽的瑣碎日常,0,0,0,0.0,0.0,https://www.instagram.com/mypink0911/,1786,83681,563,綜合其他
179,虎麗笑嗨嗨,0,0,0,0.0,0.0,https://www.instagram.com/hooleefun/,3628,285219,76,美食料理
180,老王愛說笑,0,0,0,0.0,0.0,https://www.instagram.com/oldwangstock/,2229,72829,10,理財創業
181,喪屍老爸,0,1,0,0.0,0.0,https://www.instagram.com/walkerdad1228/,1301,116757,380,"家庭母嬰,趣味搞笑"
182,尤汐伯夷,2,0,0,1.0050251256281406,0.0,https://www.instagram.com/boyplaymj/,1730,70600,594,遊戲電玩
183,崔咪Tramy,0,0,0,0.0,0.0,https://www.instagram.com/b2btramy888888/,1798,159302,1212,時尚潮流
184,Cindy-H,0,0,0,0.0,0.0,https://www.instagram.com/cindyhhh32/,1683,182298,417,"美妝保養,時尚潮流"
185,MR.JOE-HOBBY.tv,0,0,0,0.0,0.0,https://www.instagram.com/mr.joehobby/,1087,47570,169,遊戲電玩
186,Sunnie-陸筱晴,1,2,0,0.5025125628140703,0.0,https://www.instagram.com/sunnie_cat0111/,3293,226451,1105,"美妝保養,時尚潮流,旅遊,美食料理"
187,Goris-Sky,0,0,0,0.0,0.0,https://www.instagram.com/goris.sky/,7960,161740,196,"時尚潮流,美妝保養"
188,依梨,0,0,0,0.0,0.0,https://www.instagram.com/lebaby0v0/,551,536194,196,"時尚潮流,遊戲電玩"
189,許允樂的老兵魂,0,0,0,0.0,0.0,https://www.instagram.com/byleway/,7638,318515,1355,"美妝保養,時尚潮流"
190,鬧著玩娛樂,0,0,0,0.0,0.0,https://www.instagram.com/nowyouon/,510,43933,150,"旅遊,美食料理"
191,林淑芬2.0,0,0,0,0.0,0.0,https://www.instagram.com/0_shufen/,1371,883571,547,綜合其他
192,Mom-&-Dad,2,0,0,1.0050251256281406,0.0,https://www.instagram.com/momanddad_band/,906,74943,483,家庭母嬰
193,Meg-今天穿什麼,0,0,0,0.0,0.0,https://www.instagram.com/maygobla/,1504,199066,1045,"美妝保養,時尚潮流"
194,小凱老師,0,0,0,0.0,0.0,https://www.instagram.com/kai_makeup_/,2085,136460,647,美妝保養
195,紫玥桃,0,0,0,0.0,0.0,https://www.instagram.com/skauramomo/,0,0,0,"時尚潮流,表演藝術"
196,鵝鵝就是鵝鵝,3,0,0,1.507537688442211,0.0,https://www.instagram.com/ninggoose/,1203,107527,1001,汽機車
197,安啾咪,0,1,0,0.0,0.0,https://www.instagram.com/anjouclever/,497,385142,215,"美食料理,表演藝術"
198,Linzin-阿哲,0,0,0,0.0,0.0,https://www.instagram.com/linzin.yt/,1001,31005,19,3C科技
199,廚佛瑞德Fred,5,5,2,2.512562814070352,0.002386,https://www.instagram.com/thechef_fred/,930,183927,1037,"美食料理,帶貨分潤"
200,大H-陳建昕,0,0,0,0.0,0.0,https://www.instagram.com/hsin0126/,2037,314116,4829,運動健身
